,Target Name,Source Name,RA (J2000) deg,DEC (J2000) deg,Ephemeris-RADEC,Flux,Rate,Reference
0,PSR_B0531+21,Crab_Pulsar,83.633218,22.014464,DE430,,,
1,PSR_B0833-45,Vela_Pulsar,,,,,,
2,PSR_B0540-69,Crab_Twin,,,,,,
3,PSR_J0537-6910,Big_Glitcher,,,,,,
4,4U_0142+61,4U_0142+61,,,,,,
5,1E_1048.1-5937,1E_1048.1-5937,,,,,,
6,XTE_J1810-197,XTE_J1810-197,,,,,,
7,CXO_J164710.2-455216,CXO_J1647-45,,,,,,
8,PSR_B0656+14,PSR_J0649+1414,104.950781,14.239186,DE421,,,J0659+1414_NRT_Mar27.par
9,RX_J0720.4-3125,RX_J0720.4-3125,,,,,,
10,RX_J1605.3+3249,RX_J1605.3+3249,,,,,,
11,PSR_J0726-2612,PSR_J0726-2612,111.533833,-26.210583,,5.00E-13,0.55,http://adsabs.harvard.edu/abs/2011ApJ...743..183S
